Episode,Reward,Length
1,14.0,14
2,17.0,31
3,12.0,43
4,17.0,60
5,18.0,78
6,17.0,95
7,13.0,108
8,32.0,140
9,17.0,157
10,27.0,184
11,33.0,217
12,17.0,234
13,32.0,266
14,31.0,297
15,40.0,337
16,30.0,367
17,12.0,379
18,45.0,424
19,30.0,454
20,29.0,483
21,23.0,506
22,32.0,538
23,18.0,556
24,11.0,567
25,11.0,578
26,27.0,605
27,26.0,631
28,9.0,640
29,10.0,650
30,10.0,660
31,16.0,676
32,31.0,707
33,14.0,721
34,14.0,735
35,14.0,749
36,13.0,762
37,10.0,772
38,43.0,815
39,17.0,832
40,22.0,854
41,14.0,868
42,23.0,891
43,18.0,909
44,16.0,925
45,18.0,943
46,16.0,959
47,17.0,976
48,17.0,993
49,21.0,1014
50,31.0,1045
51,18.0,1063
52,18.0,1081
53,11.0,1092
54,21.0,1113
55,12.0,1125
56,14.0,1139
57,23.0,1162
58,14.0,1176
59,19.0,1195
60,21.0,1216
61,52.0,1268
62,18.0,1286
63,17.0,1303
64,31.0,1334
65,67.0,1401
66,18.0,1419
67,16.0,1435
68,44.0,1479
69,27.0,1506
70,36.0,1542
71,23.0,1565
72,21.0,1586
73,15.0,1601
74,11.0,1612
75,17.0,1629
76,12.0,1641
77,17.0,1658
78,34.0,1692
79,26.0,1718
80,20.0,1738
81,24.0,1762
82,12.0,1774
83,10.0,1784
84,15.0,1799
85,12.0,1811
86,15.0,1826
87,13.0,1839
88,18.0,1857
89,24.0,1881
90,23.0,1904
91,15.0,1919
92,16.0,1935
93,33.0,1968
94,16.0,1984
95,18.0,2002
96,23.0,2025
97,11.0,2036
98,63.0,2099
99,32.0,2131
100,14.0,2145
101,98.0,2243
102,53.0,2296
103,112.0,2408
104,10.0,2418
105,20.0,2438
106,13.0,2451
107,22.0,2473
108,9.0,2482
109,15.0,2497
110,20.0,2517
111,14.0,2531
112,51.0,2582
113,16.0,2598
114,41.0,2639
115,53.0,2692
116,26.0,2718
117,24.0,2742
118,33.0,2775
119,94.0,2869
120,14.0,2883
121,12.0,2895
122,23.0,2918
123,16.0,2934
124,41.0,2975
125,27.0,3002
126,17.0,3019
127,13.0,3032
128,26.0,3058
129,11.0,3069
130,50.0,3119
131,10.0,3129
132,15.0,3144
133,18.0,3162
134,31.0,3193
135,29.0,3222
136,24.0,3246
137,69.0,3315
138,25.0,3340
139,69.0,3409
140,21.0,3430
141,15.0,3445
142,35.0,3480
143,22.0,3502
144,14.0,3516
145,21.0,3537
146,43.0,3580
147,39.0,3619
148,21.0,3640
149,28.0,3668
150,29.0,3697
151,40.0,3737
152,22.0,3759
153,32.0,3791
154,53.0,3844
155,14.0,3858
156,9.0,3867
157,14.0,3881
158,22.0,3903
159,12.0,3915
160,30.0,3945
161,49.0,3994
162,12.0,4006
163,32.0,4038
164,34.0,4072
165,25.0,4097
166,51.0,4148
167,63.0,4211
168,48.0,4259
169,18.0,4277
170,22.0,4299
171,17.0,4316
172,49.0,4365
173,20.0,4385
174,15.0,4400
175,24.0,4424
176,79.0,4503
177,45.0,4548
178,82.0,4630
179,42.0,4672
180,58.0,4730
181,49.0,4779
182,32.0,4811
183,39.0,4850
184,66.0,4916
185,146.0,5062
186,32.0,5094
187,37.0,5131
188,82.0,5213
189,72.0,5285
190,78.0,5363
191,36.0,5399
192,89.0,5488
193,39.0,5527
194,28.0,5555
195,40.0,5595
196,17.0,5612
197,25.0,5637
198,30.0,5667
199,69.0,5736
200,15.0,5751
201,12.0,5763
202,26.0,5789
203,16.0,5805
204,21.0,5826
205,64.0,5890
206,64.0,5954
207,41.0,5995
208,30.0,6025
209,27.0,6052
210,25.0,6077
211,102.0,6179
212,49.0,6228
213,52.0,6280
214,81.0,6361
215,31.0,6392
216,60.0,6452
217,77.0,6529
218,35.0,6564
219,17.0,6581
220,91.0,6672
221,14.0,6686
222,31.0,6717
223,114.0,6831
224,47.0,6878
225,51.0,6929
226,53.0,6982
227,8.0,6990
228,117.0,7107
229,29.0,7136
