Episode,Reward,Length
1,-143.723538,115
2,-59.694522,71
3,-325.727786,101
4,-430.398703,91
5,-148.425294,75
6,-143.616261,81
7,-97.061707,107
8,-291.275678,80
9,-146.023194,75
10,-369.890682,110
11,-79.63024,69
12,-214.291396,71
13,-393.01002,115
14,-426.066901,103
15,-132.240531,78
16,-186.362316,144
17,-350.760826,107
18,-276.607015,144
19,-45.279442,80
20,-75.804865,79
21,-278.397109,149
22,-78.514913,126
23,-175.332915,94
24,-457.48738,95
25,-75.174222,112
26,-374.26521,87
27,-180.380502,141
28,-560.766493,204
29,-51.325917,131
30,-87.624451,155
31,-122.071053,135
32,-477.653559,113
33,-229.347728,225
34,-232.967125,98
35,-119.222423,113
36,-256.490534,158
37,-301.306753,419
38,-102.887963,156
39,-91.007786,120
40,-177.742472,142
41,-111.829996,101
42,-372.098952,2274
43,-787.243145,1546
44,-194.551005,431
45,-1820.191332,4398
46,-228.881839,192
47,-66.536609,178
48,-125.287041,134
49,-27.285612,174
50,-236.698891,181
51,-44.107395,226
52,-166.590983,245
53,-247.650676,158
54,-240.213742,167
55,-355.078938,322
56,-307.041746,160
57,-157.831472,100
58,-422.576468,384
59,-359.73568,174
60,-314.933712,222
61,-89.568159,143
62,-205.694233,112
63,-300.143544,162
64,-339.570949,302
65,-492.796017,213
66,-511.48147,221
67,-520.287212,150
68,-277.138658,226
69,-338.070347,110
70,-231.304334,116
71,-341.376819,89
72,-379.964953,220
73,-507.558739,145
74,-413.630703,156
75,-440.150205,159
76,-341.587613,169
77,-298.645486,116
78,-285.580856,169
79,-515.87536,163
80,-139.898885,128
81,-403.255107,197
82,-178.611141,117
83,-313.962339,91
84,-193.20347,156
85,-249.012484,86
86,-254.432685,97
87,-304.942989,88
88,-385.971494,93
89,-410.473561,119
90,-434.429461,87
91,-492.881627,97
92,-360.856912,139
93,-489.932827,238
94,-510.699884,231
95,-227.888314,122
96,-342.135368,97
97,-435.336924,109
98,-312.556303,91
99,-382.779104,145
100,-285.69781,114
101,-498.480892,141
102,-373.843988,192
103,-1600.694913,3484
104,-279.280304,252
105,-263.784764,262
106,-227.409269,257
107,-120.577433,237
108,-258.796651,238
109,-137.249483,316
110,-74.619017,199
111,-511.413008,1050
112,-196.970299,446
113,-277.52888,247
114,-251.370929,308
115,3.917038,606
116,10.574389,1082
117,16.168756,574
118,-85.716632,274
119,40.589159,652
120,-448.75952,813
121,-97.812385,780
122,-116.915381,258
123,-182.93308,387
124,-187.572221,505
125,-221.045032,496
126,-286.718261,536
127,-153.825522,385
128,-95.379534,308
129,-72.301769,332
130,-224.703674,456
131,36.534654,617
132,-218.416812,489
133,-91.119814,382
134,-178.264495,407
135,-211.156752,360
136,41.563592,573
137,-148.674783,306
138,-159.172617,346
139,-395.167557,531
140,-182.039714,422
141,-329.05247,375
142,-11.41408,583
143,-285.133809,295
144,-81.080189,285
145,28.330871,576
146,65.323621,517
147,-135.785893,305
148,-119.579846,252
149,-98.596479,334
150,-78.883596,255
151,-307.56008,310
152,-40.308188,176
153,-137.279385,368
154,-235.983877,241
155,-177.902744,370
156,-203.447938,440
157,-64.279921,260
158,-186.22126,444
159,-122.300941,344
160,-345.641152,377
161,11.749425,459
162,-276.720351,585
163,-76.709922,266
164,-193.685978,420
165,68.487912,443
166,-300.820659,300
167,-390.923376,395
168,-127.266833,316
169,78.563416,356
170,-320.683726,295
171,-129.70093,227
172,-120.752491,315
173,-199.364802,392
174,-41.821305,288
175,-154.059872,410
176,-89.531601,269
177,78.602013,386
178,-46.376547,613
179,57.221469,436
180,-90.516629,294
181,-190.913826,485
182,-166.6449,362
183,-170.001947,373
184,-304.019927,248
185,-188.024935,461
186,-59.336965,682
187,-203.067103,351
188,-131.587906,350
189,-59.613477,259
190,-177.92333,345
191,-63.59718,294
192,-109.03584,179
193,-333.992998,375
194,-151.82713,310
195,-107.792489,241
196,-66.60987,283
197,53.385837,495
198,-98.071973,252
199,-150.511486,323
200,-97.713863,259
201,-195.079175,435
202,60.450947,715
203,-158.089745,331
204,74.245636,488
205,-108.019417,270
206,-116.043804,264
207,-163.542815,348
208,-87.716531,327
209,-393.685306,398
210,-133.922349,319
211,-281.836607,330
212,-147.769309,263
213,-64.365847,264
214,-263.071837,534
215,-354.211137,425
216,-293.365377,316
217,-444.584839,597
218,-130.776842,351
219,-261.612358,299
220,-372.428268,294
221,-121.463225,245
222,-162.707446,322
223,-167.32665,329
224,-74.179261,338
225,-216.464341,355
226,-133.062068,307
227,-155.380209,342
228,-377.131813,405
229,-206.389368,322
230,-225.298429,237
231,-132.530302,318
232,-346.58039,312
233,-189.738079,345
234,-222.883962,472
235,-91.958303,323
236,-96.172972,280
237,49.580694,465
238,-100.00745,340
239,-211.165183,381
240,-163.963817,377
241,-129.140284,255
242,45.336722,484
243,-159.27981,372
244,20.842174,531
245,-129.725029,390
246,-288.647024,309
247,126.895621,551
248,-212.827088,433
249,-116.169883,315
250,-240.558596,324
251,-246.998399,425
252,-89.979942,341
253,-46.133389,757
254,-226.188647,457
255,-127.470305,389
256,-339.745226,640
257,-103.575609,240
258,-125.610154,341
259,-229.607188,461
260,-109.404292,235
261,-189.911142,437
262,-191.585593,484
263,-80.028288,267
264,-382.518738,765
265,-443.042863,864
266,-558.38403,1580
267,-286.815502,996
268,-158.984648,351
269,-393.066094,819
270,-228.521179,595
271,-438.094995,1347
272,-525.593732,1485
273,-602.579577,1809
274,-123.408042,411
